ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050863	GO:0050863	regulation of T cell activation	35/720	327/18371	7.64752366993719e-08	7.24067541069653e-06	6.18724915022497e-06	Cd28/Hlx/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Cd83/Syk/Lgals3/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfrsf21/Tnfsf14/Zfp35/Socs6/Dock8/Il1a/Sirpa/Gm9733/Gm5150/Il2/Tnfaip8l2/Laptm5/Fgl2/Rhoh/Gpnmb/Ptpn6/Tarm1/Adam8/Il15	35
GO:0022408	GO:0022408	negative regulation of cell-cell adhesion	26/720	200/18371	8.20031495927054e-08	7.61182176807583e-06	6.50439842899415e-06	Serpine2/Hlx/Lilrb4a/Lilrb4a/Havcr2/Pik3r1/Lgals3/Nckap1l/Bcl6/Cd86/Runx1/Tnfrsf21/Zfp35/Socs6/Il1rn/Notch1/Spi1/Il2/Tnfaip8l2/Laptm5/Fgl2/Gpnmb/Ptpn6/Tarm1/Adam8/Ubash3b	26
GO:0050777	GO:0050777	negative regulation of immune response	24/720	177/18371	1.15567846322528e-07	1.05211189325163e-05	8.9904298262647e-06	Inpp5d/Sh2d1b1/Cd84/Hlx/Lilrb4a/Lilrb4a/Havcr2/Abr/Ppp3cb/Lgals3/Il7r/Nckap1l/Bcl6/Samsn1/Fer/Zfp35/Spi1/Il2/Smpdl3b/Fgl2/Ptpn6/Nod2/Mmp12/Ccr1	24
GO:0050864	GO:0050864	regulation of B cell activation	22/720	152/18371	1.21037450901375e-07	1.08111564635304e-05	9.23827058220428e-06	Cd28/Inpp5d/Bcl2/Lilrb4a/Lilrb4a/Ighv1-47/Syk/Mef2c/Gpr183/Nfam1/Nckap1l/Bcl6/Samsn1/Tnfrsf21/Il2/Lyn/Laptm5/Cd38/Ptpn6/Tyrobp/Nod2/Sh3kbp1	22
GO:0002286	GO:0002286	T cell activation involved in immune response	18/720	108/18371	1.96600332145161e-07	1.6921926770458e-05	1.44600014628488e-05	Fcer1g/Ly9/Slamf6/Hlx/Havcr2/Nlrp3/Lgals3/Lcp1/Gpr183/Nckap1l/Bcl6/Zfp35/Entpd7/Il2/Fgl2/Clec4d/Cracr2a/Rab27a	18
GO:0032652	GO:0032652	regulation of interleukin-1 production	18/720	108/18371	1.96600332145161e-07	1.6921926770458e-05	1.44600014628488e-05	Aim2/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Nlrp1a/Nlrp1b/Tmed10/Serpinb1b/Mefv/Sirpa/Tlr6/Tyrobp/Cd33/Gas6/Nod2/Casp1/Smad3	18
GO:0032720	GO:0032720	negative regulation of tumor necrosis factor production	14/720	66/18371	2.07839902541582e-07	1.75698946184259e-05	1.50136982230695e-05	Lilrb4a/Lilrb4a/Havcr2/Sirpa/Tlr6/Gpnmb/Clec4a1/Clec4a3/Clec4a2/Ptpn6/C5ar2/Cd33/Gas6/Nod2	14
GO:0060326	GO:0060326	cell chemotaxis	32/720	297/18371	2.37616006220668e-07	1.9734634621906e-05	1.68634960647466e-05	Sell/Fcgr3/Fcer1g/Itgb2/Ccl6/Rin3/Lyst/Edn1/Ninj1/Syk/Lgals3/Ptk2b/Gpr183/Bin2/Nckap1l/Pla2g7/Tnfsf14/Notch1/Spi1/Lyn/Padi2/Plekhg5/C3ar1/C5ar2/Adam8/F7/Gas6/Mtus1/Nod2/Cxcr5/Adam10/Ccr1	32
GO:1903556	GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	14/720	67/18371	2.533761818902e-07	2.06807387080726e-05	1.76719540291114e-05	Lilrb4a/Lilrb4a/Havcr2/Sirpa/Tlr6/Gpnmb/Clec4a1/Clec4a3/Clec4a2/Ptpn6/C5ar2/Cd33/Gas6/Nod2	14
GO:0050920	GO:0050920	regulation of chemotaxis	27/720	226/18371	2.67002037075167e-07	2.11687624933184e-05	1.80889765552271e-05	Sell/Rin3/Edn1/Ninj1/Sema4d/Ptk2b/Mycbp2/Gpr183/Cyrib/Nckap1l/St6gal1/Dscam/Pla2g7/Tnfsf14/Notch1/Spi1/Lyn/Padi2/C3ar1/C5ar2/F7/Gas6/Mtus1/Nod2/Smad3/Adam10/Ccr1	27
GO:0002688	GO:0002688	regulation of leukocyte chemotaxis	19/720	122/18371	2.72770281388344e-07	2.11687624933184e-05	1.80889765552271e-05	Sell/Rin3/Edn1/Ninj1/Ptk2b/Nckap1l/Pla2g7/Tnfsf14/Spi1/Lyn/Padi2/C3ar1/C5ar2/F7/Gas6/Mtus1/Nod2/Adam10/Ccr1	19
GO:0002698	GO:0002698	negative regulation of immune effector process	19/720	122/18371	2.72770281388344e-07	2.11687624933184e-05	1.80889765552271e-05	Sh2d1b1/Cd84/Hlx/Lilrb4a/Lilrb4a/Havcr2/Abr/Ppp3cb/Lgals3/Il7r/Nckap1l/Bcl6/Fer/Zfp35/Spi1/Il2/Fgl2/Ptpn6/Nod2	19
GO:0050766	GO:0050766	positive regulation of phagocytosis	15/720	78/18371	2.99982161071756e-07	2.29050895244144e-05	1.95726900678906e-05	Fcgr3/Fcer1g/Dock2/Abr/Myo18a/Cd300lf/Nckap1l/Sirpa/Gm9733/Gm5150/Gas6/Il15/Nod2/Cyba/Rab27a	15
GO:0070661	GO:0070661	leukocyte proliferation	34/720	333/18371	3.60319691794649e-07	2.70754511262836e-05	2.31363170520774e-05	Cd28/Inpp5d/Bcl2/Slamf6/Lilrb4a/Lilrb4a/Itgb2/Dock2/Havcr2/Syk/Mef2c/Cd180/Lgals3/Gpr183/Il7r/Csf2rb/Nckap1l/St6gal1/Bcl6/Cd86/Rasal3/Tnfrsf21/Tcirg1/Dock8/Il1a/Il2/Lyn/Laptm5/Cd38/Gpnmb/Ptpn6/Tarm1/Tyrobp/Il15	34
GO:0034121	GO:0034121	regulation of toll-like receptor signaling pathway	14/720	69/18371	3.72263866657045e-07	2.75358928867883e-05	2.35297703875498e-05	Rab7b/Esr1/Cd300ld3/Cd300lf/Ninj1/Treml4/Pik3ap1/Lyn/Smpdl3b/Tlr6/Irf7/Mfhas1/Nod2/Cyba	14
GO:0032612	GO:0032612	interleukin-1 production	18/720	113/18371	3.96513449423265e-07	2.88636427083631e-05	2.46643494826316e-05	Aim2/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Nlrp1a/Nlrp1b/Tmed10/Serpinb1b/Mefv/Sirpa/Tlr6/Tyrobp/Cd33/Gas6/Nod2/Casp1/Smad3	18
GO:0050868	GO:0050868	negative regulation of T cell activation	19/720	125/18371	4.02408199989852e-07	2.88636427083631e-05	2.46643494826316e-05	Hlx/Lilrb4a/Lilrb4a/Havcr2/Lgals3/Nckap1l/Bcl6/Cd86/Runx1/Tnfrsf21/Zfp35/Socs6/Il2/Tnfaip8l2/Laptm5/Fgl2/Gpnmb/Ptpn6/Tarm1	19
GO:0032943	GO:0032943	mononuclear cell proliferation	32/720	306/18371	4.66352551922899e-07	3.29509400119851e-05	2.81569969684163e-05	Cd28/Inpp5d/Bcl2/Slamf6/Lilrb4a/Lilrb4a/Itgb2/Dock2/Havcr2/Syk/Mef2c/Cd180/Lgals3/Gpr183/Il7r/Nckap1l/St6gal1/Bcl6/Cd86/Rasal3/Tnfrsf21/Dock8/Il1a/Il2/Lyn/Laptm5/Cd38/Gpnmb/Ptpn6/Tarm1/Tyrobp/Il15	32
GO:1903038	GO:1903038	negative regulation of leukocyte cell-cell adhesion	20/720	139/18371	4.97025867831194e-07	3.38949607803254e-05	2.89636747112246e-05	Hlx/Lilrb4a/Lilrb4a/Havcr2/Lgals3/Nckap1l/Bcl6/Cd86/Runx1/Tnfrsf21/Zfp35/Socs6/Il2/Tnfaip8l2/Laptm5/Fgl2/Gpnmb/Ptpn6/Tarm1/Adam8	20
GO:0002685	GO:0002685	regulation of leukocyte migration	26/720	219/18371	5.0119291394651e-07	3.38949607803254e-05	2.89636747112246e-05	Sell/Abr/Rin3/Edn1/Ninj1/Lgals3/Ptk2b/Nckap1l/Cd200r1/Pla2g7/Tnfsf14/Dock8/Spi1/Il1a/Lyn/Padi2/Rhoh/C3ar1/C5ar2/Adam8/F7/Gas6/Mtus1/Nod2/Adam10/Ccr1	26
GO:0097529	GO:0097529	myeloid leukocyte migration	26/720	219/18371	5.0119291394651e-07	3.38949607803254e-05	2.89636747112246e-05	Sell/Fcgr3/Fcer1g/Enpp1/Itgb2/Ccl6/Rin3/Edn1/Ninj1/Syk/Lgals3/Ptk2b/Nckap1l/Cd200r1/Pla2g7/Spi1/Il1a/Sirpa/Lyn/Rhoh/C3ar1/C5ar2/Adam8/Mtus1/Nod2/Ccr1	26
GO:1903039	GO:1903039	positive regulation of leukocyte cell-cell adhesion	27/720	236/18371	6.37447377223219e-07	4.25024772362636e-05	3.63189069039115e-05	Cd28/Hlx/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Cd83/Syk/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfsf14/Dock8/Il1a/Sirpa/Gm9733/Gm5150/Il2/Rhoh/Adam8/Il15/Ets1	27
GO:0022409	GO:0022409	positive regulation of cell-cell adhesion	30/720	284/18371	8.58641985064356e-07	5.64557105179814e-05	4.82421220555895e-05	Cd28/Hlx/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Gcnt2/Cd83/Syk/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfsf14/Emilin2/Dock8/Itga6/Il1a/Sirpa/Gm9733/Gm5150/Il2/Rhoh/Adam8/Il15/Ets1	30
GO:0050870	GO:0050870	positive regulation of T cell activation	25/720	212/18371	9.39678451511484e-07	6.0937503965142e-05	5.20718715091368e-05	Cd28/Hlx/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Cd83/Syk/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfsf14/Dock8/Il1a/Sirpa/Gm9733/Gm5150/Il2/Rhoh/Adam8/Il15	25
GO:0046632	GO:0046632	alpha-beta T cell differentiation	18/720	120/18371	9.88358127392071e-07	6.32282077712712e-05	5.40293070208781e-05	Bcl2/Ly9/Slamf6/Hlx/Lilrb4a/Lilrb4a/Psap/Nlrp3/Cd83/Syk/Gpr183/Nckap1l/Bcl6/Runx1/Zfp35/Entpd7/Il2/Cracr2a	18
GO:0032740	GO:0032740	positive regulation of interleukin-17 production	8/720	22/18371	1.05068952488536e-06	6.47239380882904e-05	5.53074275839504e-05	Ly9/Slamf6/Osm/Rftn1/Card9/Il2/Il15/Nod2	8
GO:0046651	GO:0046651	lymphocyte proliferation	31/720	302/18371	1.05089429643533e-06	6.47239380882904e-05	5.53074275839504e-05	Cd28/Inpp5d/Bcl2/Slamf6/Lilrb4a/Lilrb4a/Itgb2/Dock2/Havcr2/Syk/Mef2c/Cd180/Lgals3/Gpr183/Il7r/Nckap1l/Bcl6/Cd86/Rasal3/Tnfrsf21/Dock8/Il1a/Il2/Lyn/Laptm5/Cd38/Gpnmb/Ptpn6/Tarm1/Tyrobp/Il15	31
GO:0045785	GO:0045785	positive regulation of cell adhesion	41/720	463/18371	1.05275522450324e-06	6.47239380882904e-05	5.53074275839504e-05	Cd28/Arpc2/Hlx/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Unc13d/Agr2/Gcnt2/Cd83/Ninj1/Syk/Ptk2b/Dab2/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfsf14/Emilin2/Dock8/Itga6/Il1a/Sirpa/Rin2/Gm9733/Gm5150/Il2/Npnt/Rhoh/Ptpn6/Adam8/Plekha2/Il15/Ets1/Smad3	41
GO:0002275	GO:0002275	myeloid cell activation involved in immune response	16/720	97/18371	1.07650412818839e-06	6.53355197800494e-05	5.5830031911309e-05	Fcer1g/Cd84/Lilrb4a/Lilrb4a/Itgb2/Dock2/Havcr2/Abr/Unc13d/Syk/Myo1f/Fer/Spi1/Lyn/Ptpn6/Tyrobp	16
GO:0030099	GO:0030099	myeloid cell differentiation	38/720	414/18371	1.09892072268738e-06	6.58517810278739e-05	5.62711837080292e-05	Inpp5d/Tnfrsf11a/Rab7b/Fcer1g/Enpp1/Lilrb4a/Lilrb4a/Cd300lf/Ncapg2/Gpr137b/Ninj1/Mef2c/Pik3r1/Ptk2b/Gpr183/Dab2/Myh9/Nckap1l/Bcl6/Runx1/Rps14/Tcirg1/Exoc6/Spi1/Lmo2/Lyn/Fam20c/Ptpn6/Pirb/Tyrobp/Adam8/Mfhas1/Il15/Ets1/Ubash3b/Tmod3/Slc25a38/Ccr1	38
GO:0050764	GO:0050764	regulation of phagocytosis	17/720	109/18371	1.12697783328632e-06	6.6688913284718e-05	5.69865238594648e-05	Fcgr3/Fcer1g/Dock2/Abr/Myo18a/Cd300lf/Syk/Nckap1l/Sirpa/Hck/Gm9733/Gm5150/Gas6/Il15/Nod2/Cyba/Rab27a	17
GO:0002697	GO:0002697	regulation of immune effector process	36/720	383/18371	1.20869911069178e-06	7.06417480248751e-05	6.0364271376069e-05	Cd28/Sh2d1b1/Fcgr3/Fcer1g/Cd84/Slamf6/Hlx/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Abr/Myo18a/Unc13d/Syk/Ppp3cb/Lgals3/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Fer/Zfp35/Spi1/Il2/Cd5l/Lyn/Laptm5/Fgl2/Ptpn6/Klri1/Tyrobp/Lamp1/Nod2	36
GO:0062207	GO:0062207	regulation of pattern recognition receptor signaling pathway	16/720	98/18371	1.24049585284578e-06	7.16159435045355e-05	6.11967337931492e-05	Rab7b/Esr1/Cd300ld3/Cd300lf/Ninj1/Erbin/Treml4/Riok3/Pik3ap1/Lyn/Smpdl3b/Tlr6/Irf7/Mfhas1/Nod2/Cyba	16
GO:0002335	GO:0002335	mature B cell differentiation	10/720	38/18371	1.40232430365227e-06	7.97868657645917e-05	6.81788906973797e-05	Dock10/Enpp1/Lilrb4a/Lilrb4a/Ptk2b/Gpr183/Spi1/Il2/Lfng/Pou2f2	10
GO:0002313	GO:0002313	mature B cell differentiation involved in immune response	9/720	30/18371	1.41573652814231e-06	7.97868657645917e-05	6.81788906973797e-05	Dock10/Enpp1/Lilrb4a/Lilrb4a/Ptk2b/Gpr183/Spi1/Il2/Lfng	9
GO:0007264	GO:0007264	small GTPase mediated signal transduction	38/720	419/18371	1.47172207451807e-06	8.19662623619831e-05	7.00412127848045e-05	Dock10/Dock2/Aatk/Pik3cg/Elmo1/Arhgef28/Erbin/Dok2/Cyrib/Cyth4/Bcl6/Tiam1/Itsn1/Rasal3/Arhgap26/Dock8/Arhgap19/Adrb1/Psd4/Notch1/Vav2/Sh2d3c/Rhov/Rapgef2/Iqgap3/Arhgef2/Bcar3/Abca1/Plekhg5/Rhoh/G3bp2/Arhgap25/Iqsec1/Akap13/Arhgef7/Mcf2l/Sipa1l2/Cbl	38
GO:0032944	GO:0032944	regulation of mononuclear cell proliferation	26/720	232/18371	1.51873087386085e-06	8.36008367076425e-05	7.14379773347275e-05	Cd28/Inpp5d/Bcl2/Lilrb4a/Lilrb4a/Havcr2/Syk/Mef2c/Lgals3/Gpr183/Nckap1l/St6gal1/Bcl6/Cd86/Rasal3/Tnfrsf21/Il1a/Il2/Lyn/Laptm5/Cd38/Gpnmb/Ptpn6/Tarm1/Tyrobp/Il15	26
GO:0035710	GO:0035710	CD4-positive, alpha-beta T cell activation	17/720	112/18371	1.66307433189358e-06	9.0494182611313e-05	7.73284290074657e-05	Ly9/Slamf6/Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Gpr183/Nckap1l/Bcl6/Runx1/Zfp35/Tcirg1/Entpd7/Il2/Cracr2a/Tarm1	17
GO:0032715	GO:0032715	negative regulation of interleukin-6 production	11/720	48/18371	1.86383981224814e-06	0.000100266109899803	8.56786650534642e-05	Inpp5d/Cd84/Lilrb4a/Lilrb4a/Havcr2/Nckap1l/Cd200r1/Sirpa/Ptpn6/C5ar2/Gas6	11
GO:0071216	GO:0071216	cellular response to biotic stimulus	27/720	250/18371	1.9692606364649e-06	0.000104746964640728	8.95076123706043e-05	Cd84/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Ly86/Syk/Mef2c/Cd180/Mapk8/Gch1/Cyrib/Cd86/Cd14/Fbh1/Mrc1/Mir511/Notch1/Spi1/Il1a/Sirpa/Il2/Lyn/Abca1/Tlr6/Nod2/Casp1	27
GO:0032651	GO:0032651	regulation of interleukin-1 beta production	15/720	90/18371	2.0328860485606e-06	0.000106929806154288	9.13728781826714e-05	Aim2/Lilrb4a/Lilrb4a/Nlrp3/Nlrp1a/Nlrp1b/Serpinb1b/Mefv/Sirpa/Tlr6/Tyrobp/Cd33/Nod2/Casp1/Smad3	15
GO:0002703	GO:0002703	regulation of leukocyte mediated immunity	28/720	266/18371	2.12342208206757e-06	0.000109422643469118	9.35030393462344e-05	Cd28/Sh2d1b1/Fcgr3/Fcer1g/Cd84/Slamf6/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Abr/Unc13d/Syk/Ppp3cb/Il7r/Cyrib/Nckap1l/Bcl6/Fer/Spi1/Il2/Lyn/Ptpn6/Klri1/Tyrobp/Lamp1/Nod2	28
GO:0070663	GO:0070663	regulation of leukocyte proliferation	27/720	251/18371	2.12650680168121e-06	0.000109422643469118	9.35030393462344e-05	Cd28/Inpp5d/Bcl2/Lilrb4a/Lilrb4a/Havcr2/Syk/Mef2c/Lgals3/Gpr183/Csf2rb/Nckap1l/St6gal1/Bcl6/Cd86/Rasal3/Tnfrsf21/Il1a/Il2/Lyn/Laptm5/Cd38/Gpnmb/Ptpn6/Tarm1/Tyrobp/Il15	27
GO:0002237	GO:0002237	response to molecule of bacterial origin	31/720	313/18371	2.24560020886149e-06	0.000114308294502691	9.76778902394421e-05	Tnfrsf11a/Ncf2/Cd84/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Abr/Ly86/Mef2c/Cd180/Erbin/Mapk8/Ptger2/Gch1/Cyrib/Cd86/Fer/Cd14/Mrc1/Mir511/Card9/Spi1/Il1a/Sirpa/Slpi/Lyn/Abca1/Tlr6/Nod2/Casp1	31
GO:0036037	GO:0036037	CD8-positive, alpha-beta T cell activation	9/720	32/18371	2.58679096588071e-06	0.000130275196090205	0.000111321810547364	Bcl2/Lilrb4a/Lilrb4a/Wdfy4/Nckap1l/Runx1/Clec4a1/Clec4a3/Clec4a2	9
GO:0002283	GO:0002283	neutrophil activation involved in immune response	7/720	18/18371	3.00790824930854e-06	0.000149888817391859	0.000128081899192163	Fcer1g/Itgb2/Abr/Syk/Myo1f/Spi1/Tyrobp	7
GO:0030316	GO:0030316	osteoclast differentiation	17/720	118/18371	3.4732732148317e-06	0.000171275785406388	0.000146357335138138	Inpp5d/Tnfrsf11a/Fcer1g/Enpp1/Lilrb4a/Lilrb4a/Cd300lf/Gpr137b/Ninj1/Pik3r1/Gpr183/Tcirg1/Fam20c/Tyrobp/Adam8/Ubash3b/Ccr1	17
GO:0099024	GO:0099024	plasma membrane invagination	15/720	94/18371	3.56800990750554e-06	0.000172564588893555	0.000147458634095554	Fcgr3/Fcer1g/Itgb2/Ighv1-47/Elmo1/Myh9/Bin2/Nckap1l/Treml4/Sirpa/Abca1/Rhoh/Arhgap25/Msr1/Spire2	15
GO:0050670	GO:0050670	regulation of lymphocyte proliferation	25/720	228/18371	3.5723129935717e-06	0.000172564588893555	0.000147458634095554	Cd28/Inpp5d/Bcl2/Lilrb4a/Lilrb4a/Havcr2/Syk/Mef2c/Lgals3/Gpr183/Nckap1l/Bcl6/Cd86/Rasal3/Tnfrsf21/Il1a/Il2/Lyn/Laptm5/Cd38/Gpnmb/Ptpn6/Tarm1/Tyrobp/Il15	25
GO:0002704	GO:0002704	negative regulation of leukocyte mediated immunity	13/720	72/18371	3.87293039227329e-06	0.000185196489666887	0.000158252753827818	Sh2d1b1/Cd84/Lilrb4a/Lilrb4a/Havcr2/Abr/Ppp3cb/Il7r/Nckap1l/Bcl6/Spi1/Ptpn6/Nod2	13
GO:0032611	GO:0032611	interleukin-1 beta production	15/720	95/18371	4.08592705405516e-06	0.000191628952346242	0.000163749374928648	Aim2/Lilrb4a/Lilrb4a/Nlrp3/Nlrp1a/Nlrp1b/Serpinb1b/Mefv/Sirpa/Tlr6/Tyrobp/Cd33/Nod2/Casp1/Smad3	15
GO:1903557	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	16/720	107/18371	4.08840815102882e-06	0.000191628952346242	0.000163749374928648	Fcgr3/Fcer1g/Cd84/Ifngr1/Havcr2/Syk/Pik3r1/Cd14/Card9/Il1a/Arhgef2/Tyrobp/Adam8/Nod2/Cyba/Mmp8	16
GO:0002532	GO:0002532	production of molecular mediator involved in inflammatory response	14/720	84/18371	4.43781448111444e-06	0.000205966801505841	0.00017600124923553	Fcer1g/Lilrb4a/Lilrb4a/Syk/Mefv/Card9/Sirpa/Rap1gds1/Lyn/Tlr6/Alox5ap/Tarm1/Slc7a2/Nod2	14
GO:0002292	GO:0002292	T cell differentiation involved in immune response	13/720	73/18371	4.54522148568559e-06	0.000208903674885783	0.000178510844859374	Fcer1g/Ly9/Slamf6/Hlx/Nlrp3/Gpr183/Bcl6/Zfp35/Entpd7/Il2/Fgl2/Clec4d/Cracr2a	13
GO:0006911	GO:0006911	phagocytosis, engulfment	14/720	85/18371	5.12408285256107e-06	0.000233244309846386	0.00019931022674486	Fcgr3/Fcer1g/Itgb2/Ighv1-47/Elmo1/Myh9/Bin2/Nckap1l/Treml4/Sirpa/Abca1/Rhoh/Arhgap25/Msr1	14
GO:0043300	GO:0043300	regulation of leukocyte degranulation	11/720	53/18371	5.25952007871663e-06	0.000237129219548995	0.000202629931453714	Fcer1g/Cd84/Itgb2/Abr/Unc13d/Syk/Nckap1l/Fer/Spi1/Lyn/Lamp1	11
GO:0043299	GO:0043299	leukocyte degranulation	13/720	74/18371	5.31868046943889e-06	0.000237534276814375	0.000202976058034296	Fcer1g/Cd84/Itgb2/Abr/Unc13d/Syk/Nckap1l/Myo1f/Fer/Spi1/Lyn/Lamp1/Rab27a	13
GO:0050869	GO:0050869	negative regulation of B cell activation	9/720	35/18371	5.85958782165403e-06	0.000259245689230936	0.000221528735844726	Inpp5d/Lilrb4a/Lilrb4a/Bcl6/Samsn1/Tnfrsf21/Lyn/Laptm5/Tyrobp	9
GO:0043410	GO:0043410	positive regulation of MAPK cascade	41/720	499/18371	6.82005651072139e-06	0.000298945810386621	0.000255452993866494	Tnfrsf11a/Cd84/Esr1/Psap/Osm/Wwc1/Havcr2/Ccl6/Pik3cg/Gcnt2/Edn1/Syk/Prxl2c/Ptk2b/Gpr183/Dab2/Fgd4/Map3k4/Il1rn/Card9/Notch1/Spi1/Il1a/Rapgef2/Iqgap3/Bcar3/Npnt/Tgfbr1/Laptm5/Tlr6/Epgn/Gpnmb/Cracr2a/C5ar2/Akap13/Adam8/Gas6/Mfhas1/Nod2/Mmp8/Ccr1	41
GO:1903706	GO:1903706	regulation of hemopoiesis	34/720	381/18371	7.41455055906789e-06	0.000322022773822269	0.000275172552375644	Cd28/Inpp5d/Rab7b/Hlx/Lilrb4a/Lilrb4a/Nlrp3/Gpr137b/Cd83/Ninj1/Syk/Mef2c/Pik3r1/Ptk2b/Il7r/Nfam1/Nckap1l/Bcl6/Runx1/Zfp35/Spi1/Lmo2/Il2/Lyn/Fgl2/Rhoh/Ptpn6/Tyrobp/Adam8/Gas6/Il15/Ets1/Ubash3b/Ccr1	34
GO:0032660	GO:0032660	regulation of interleukin-17 production	9/720	36/18371	7.54293754903556e-06	0.000324620603246676	0.00027739243063104	Ly9/Slamf6/Osm/Nckap1l/Rftn1/Card9/Il2/Il15/Nod2	9
GO:0010324	GO:0010324	membrane invagination	15/720	101/18371	8.85893158176562e-06	0.000377821460433139	0.000322853239153393	Fcgr3/Fcer1g/Itgb2/Ighv1-47/Elmo1/Myh9/Bin2/Nckap1l/Treml4/Sirpa/Abca1/Rhoh/Arhgap25/Msr1/Spire2	15
GO:0045621	GO:0045621	positive regulation of lymphocyte differentiation	16/720	114/18371	9.42544146216414e-06	0.000398393213231116	0.000340432063337376	Inpp5d/Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Syk/Il7r/Nckap1l/Bcl6/Runx1/Il2/Rhoh/Adam8/Gas6/Il15	16
GO:0002820	GO:0002820	negative regulation of adaptive immune response	11/720	57/18371	1.10387745958767e-05	0.000462456273777702	0.000395174762663756	Lilrb4a/Lilrb4a/Havcr2/Ppp3cb/Il7r/Nckap1l/Bcl6/Samsn1/Il2/Ptpn6/Nod2	11
GO:0032814	GO:0032814	regulation of natural killer cell activation	10/720	47/18371	1.11635341004472e-05	0.000463580442381729	0.00039613537902141	Slamf7/Lilrb4a/Lilrb4a/Havcr2/Lyst/Bloc1s3/Tyrobp/Lamp1/Gas6/Il15	10
GO:0030101	GO:0030101	natural killer cell activation	14/720	91/18371	1.15962285406545e-05	0.000474349113300014	0.000405337345165311	Slamf7/Slamf6/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Unc13d/Lyst/Bloc1s3/Tyrobp/Lamp1/Gas6/Il15/Rab27a	14
GO:0032732	GO:0032732	positive regulation of interleukin-1 production	12/720	68/18371	1.16232566841575e-05	0.000474349113300014	0.000405337345165311	Aim2/Havcr2/Nlrp3/Nlrp1a/Nlrp1b/Tmed10/Mefv/Tlr6/Tyrobp/Nod2/Casp1/Smad3	12
GO:0006887	GO:0006887	exocytosis	33/720	373/18371	1.20511481260791e-05	0.000487607993409045	0.000416667226707349	Rims1/Syt2/Fcer1g/Cd84/Itgb2/Abr/Unc13d/Tmed10/Tnfaip2/Syk/Ppp3cb/Myh9/Nckap1l/Itsn1/Prkn/Myo1f/Fer/Exoc6/Notch1/Spi1/Hck/Stxbp3/Lyn/Atp13a2/Cplane2/Exoc4/Prkcb/Lamp1/Nr3c2/Exph5/Rab27a/Pdcd6ip/Ccr1	33
GO:0032620	GO:0032620	interleukin-17 production	9/720	38/18371	1.21746585371658e-05	0.000488430792499514	0.000417370318985977	Ly9/Slamf6/Osm/Nckap1l/Rftn1/Card9/Il2/Il15/Nod2	9
GO:0032496	GO:0032496	response to lipopolysaccharide	28/720	292/18371	1.26556724389154e-05	0.000503461792653995	0.000430214499626288	Tnfrsf11a/Ncf2/Cd84/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Abr/Ly86/Mef2c/Cd180/Erbin/Mapk8/Ptger2/Gch1/Cd86/Fer/Cd14/Mrc1/Mir511/Spi1/Il1a/Sirpa/Slpi/Lyn/Abca1/Nod2/Casp1	28
GO:0033004	GO:0033004	negative regulation of mast cell activation	6/720	15/18371	1.31153807736432e-05	0.000517401771520225	0.000442126388711499	Cd84/Lilrb4a/Lilrb4a/Cd300lf/Fer/Ptpn6	6
GO:0045619	GO:0045619	regulation of lymphocyte differentiation	21/720	186/18371	1.35394780218554e-05	0.00052971809054102	0.000452650839825927	Cd28/Inpp5d/Hlx/Lilrb4a/Lilrb4a/Nlrp3/Cd83/Syk/Il7r/Nfam1/Nckap1l/Bcl6/Runx1/Zfp35/Il2/Fgl2/Rhoh/Ptpn6/Adam8/Gas6/Il15	21
GO:0032760	GO:0032760	positive regulation of tumor necrosis factor production	15/720	105/18371	1.43356640216616e-05	0.000556270766217591	0.000475340438612991	Fcgr3/Fcer1g/Cd84/Ifngr1/Havcr2/Syk/Pik3r1/Cd14/Card9/Il1a/Arhgef2/Tyrobp/Nod2/Cyba/Mmp8	15
